model_name,epochs,batch,dataset_name,slaves_num,transfer_quantity_GB,transfer_summary_time_in_memory_sec,accuracy,loss,unfreeze,mean_learning_time_by_epoch_sec,gradient_compression,meta,ci95_transfer_quantity_GB_hi,ci95_transfer_quantity_GB_lo,ci95_transfer_summary_time_in_memory_sec_hi,ci95_transfer_summary_time_in_memory_sec_lo,ci95_accuracy_hi,ci95_accuracy_lo,ci95_loss_hi,ci95_loss_lo,ci95_mean_learning_time_by_epoch_sec_hi,ci95_mean_learning_time_by_epoch_sec_lo
18,10,32,uoft-cs/cifar10,1,69.8629,120.888037443161,0.8842,0.0207493,full,159.7282,none,"attempt 1, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
18,10,32,uoft-cs/cifar10,1,69.8629,121.83419775962831,0.8859,0.0886886,full,159.4618,none,"attempt 2, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
18,10,32,uoft-cs/cifar10,1,69.8629,122.10952496528631,0.8814,0.0138504,full,159.4371,none,"attempt 3, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
18,10,32,uoft-cs/cifar10,1,69.8629,121.89755964279169,0.8851,0.0034152,full,159.2996,none,"attempt 4, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
18,10,32,uoft-cs/cifar10,1,69.86290000000002,121.78817796707153,0.8784,0.1104715,full,159.3152,none,"attempt 5, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,121.42373728752136,0.8812,0.0215077,full,159.0944,none,"attempt 6, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
18,10,32,uoft-cs/cifar10,1,69.86290000000002,120.18403148651123,0.8737,0.3688972,full,159.3407,none,"attempt 7, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,120.22507500648499,0.8839,0.0862913,full,159.079,none,"attempt 8, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
18,10,32,uoft-cs/cifar10,1,69.86290000000008,120.12427687644958,0.8878,0.0140908,full,159.1314,none,"attempt 9, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,118.56076717376709,0.8844,0.1561024,full,158.9219,none,"attempt 10, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,119.55563497543335,0.8835,0.0199775,full,158.9998,none,"attempt 11, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,119.50188064575195,0.8887,0.0079169,full,158.8748,none,"attempt 12, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[121.32597284115914],[120.02284403048392],[0.8855090573500688],[0.8808576093165978],[0.13519614640356065],[0.016796986929772703],[159.36574501916553],[159.08157164750114]
